label_french,label_english
Ferme le poing,Closing hand
Ouvre le poing,Opening hand
Clap,Clap
Swipe gauche main gauche,Swipe left with left hand
Swipe gauche main droite,Swipe left with right hand
Swipe droit main gauche,Swipe right with left hand
Swipe droit main droite,Swipe right with right hand
Doigts croises paumes,Crossed fingers
Explosion avec les doigts ouverts,Spread fingers
Prendre un element avec 2 doigts,Catch with two fingers
Ouvrir un livre avec le poing ferme main D,Right arm rotate
Ouvrir un livre avec le poing ferme main G,Left arm rotate
Faire coucou,Waving
